iter	Passed	Remaining
0	2	221
1	4	200
2	6	195
3	7	176
4	9	178
5	11	173
6	13	174
7	14	170
8	16	167
9	18	164
10	19	161
11	21	157
12	23	155
13	24	152
14	26	149
15	28	147
16	29	145
17	31	142
18	32	140
19	34	137
20	35	135
21	37	132
22	38	130
23	40	128
24	42	126
25	43	124
26	45	122
27	46	120
28	48	118
29	49	116
30	51	114
31	52	112
32	54	110
33	55	108
34	57	106
35	58	104
36	60	102
37	61	100
38	62	98
39	64	96
40	65	94
41	66	91
42	67	89
43	68	87
44	70	85
45	71	83
46	73	82
47	74	81
48	76	79
49	77	77
50	79	76
51	80	74
52	82	72
53	83	71
54	84	69
55	85	67
56	87	65
57	88	64
58	90	62
59	91	61
60	93	59
61	94	57
62	95	56
63	97	54
64	98	53
65	99	51
66	101	49
67	103	48
68	104	46
69	105	45
70	107	43
71	108	42
72	109	40
73	110	38
74	112	37
75	113	35
76	114	34
77	116	32
78	117	31
79	118	29
80	119	28
81	121	26
82	122	25
83	123	23
84	124	22
85	126	20
86	127	19
87	128	17
88	129	16
89	131	14
90	133	13
91	134	11
92	136	10
93	137	8
94	139	7
95	140	5
96	142	4
97	143	2
98	145	1
99	147	0
