iter	Passed	Remaining
0	171	171369
1	173	86489
2	175	58403
3	178	44476
4	180	35979
5	182	30221
6	184	26133
7	186	23097
8	187	20700
9	191	18937
10	193	17413
11	195	16100
12	197	14983
13	199	14039
14	200	13194
15	202	12461
16	206	11926
17	208	11358
18	209	10842
19	211	10370
20	213	9949
21	215	9572
22	216	9206
23	219	8912
24	221	8622
25	222	8340
26	224	8091
27	226	7854
28	228	7634
29	229	7429
30	231	7236
31	233	7063
32	235	6915
33	237	6750
34	239	6593
35	240	6442
36	242	6303
37	243	6169
38	245	6044
39	246	5924
40	249	5835
41	251	5741
42	253	5643
43	255	5546
44	256	5448
45	258	5359
46	259	5269
47	261	5184
48	264	5128
49	265	5053
50	267	4978
51	268	4903
52	270	4833
53	271	4764
54	273	4703
55	275	4637
56	278	4602
57	280	4548
58	281	4494
59	283	4438
60	284	4383
61	286	4331
62	288	4286
63	289	4235
64	292	4202
65	293	4157
66	295	4114
67	297	4070
68	298	4026
69	300	3986
70	301	3944
71	303	3907
72	304	3871
73	307	3851
74	309	3817
75	311	3783
76	312	3748
77	314	3716
78	316	3684
79	317	3649
80	318	3616
81	320	3585
82	321	3549
83	322	3519
84	323	3486
85	325	3455
86	326	3424
87	327	3393
88	328	3363
89	329	3333
90	330	3303
91	331	3274
92	333	3247
93	334	3220
94	335	3199
95	337	3174
96	338	3147
97	339	3121
98	340	3095
99	341	3070
100	342	3045
101	343	3022
102	344	3000
103	345	2976
104	346	2954
105	347	2931
106	349	2916
107	350	2896
108	351	2876
109	353	2856
110	354	2835
111	355	2816
112	356	2796
113	357	2777
114	358	2757
115	359	2738
116	360	2717
117	361	2698
118	361	2679
119	362	2660
120	364	2646
121	365	2627
122	366	2611
123	367	2593
124	367	2574
125	368	2556
126	369	2537
127	370	2521
128	370	2503
129	371	2487
130	372	2470
131	373	2453
132	373	2437
133	374	2421
134	375	2406
135	376	2391
136	377	2376
137	377	2360
138	380	2354
139	381	2340
140	381	2325
141	382	2309
142	382	2294
143	383	2280
144	384	2266
145	385	2252
146	385	2238
147	386	2224
148	387	2211
149	387	2197
150	388	2184
151	389	2171
152	390	2159
153	390	2146
154	391	2134
155	392	2121
156	392	2109
157	393	2099
158	395	2090
159	396	2079
160	396	2065
161	397	2054
162	397	2042
163	398	2031
164	399	2020
165	399	2008
166	400	1997
167	401	1986
168	401	1975
169	402	1965
170	403	1954
171	404	1944
172	404	1934
173	405	1924
174	406	1914
175	406	1904
176	407	1894
177	408	1884
178	409	1877
179	410	1869
180	411	1861
181	412	1852
182	412	1843
183	413	1834
184	414	1825
185	415	1816
186	415	1807
187	416	1798
188	417	1789
189	417	1781
190	418	1772
191	419	1764
192	419	1755
193	420	1747
194	421	1739
195	421	1730
196	422	1722
197	423	1714
198	424	1709
199	426	1704
200	426	1697
201	427	1690
202	428	1683
203	429	1675
204	430	1668
205	431	1661
206	431	1654
207	432	1647
208	433	1640
209	434	1633
210	434	1626
211	435	1619
212	436	1612
213	436	1604
214	437	1597
215	438	1590
216	439	1587
217	441	1581
218	441	1575
219	442	1568
220	443	1562
221	443	1555
222	444	1548
223	445	1542
224	445	1535
225	446	1529
226	447	1522
227	447	1516
228	448	1510
229	449	1503
230	449	1497
231	450	1491
232	451	1485
233	452	1479
234	452	1473
235	453	1468
236	454	1463
237	455	1459
238	456	1453
239	457	1448
240	457	1442
241	458	1436
242	459	1431
243	460	1425
244	460	1419
245	461	1414
246	462	1409
247	463	1404
248	463	1399
249	464	1393
250	465	1388
251	465	1383
252	466	1378
253	467	1372
254	467	1367
255	468	1362
256	469	1358
257	471	1354
258	471	1349
259	472	1344
260	473	1339
261	473	1334
262	474	1329
263	475	1325
264	476	1320
265	476	1315
266	477	1311
267	478	1306
268	479	1301
269	479	1297
270	480	1292
271	481	1287
272	481	1283
273	482	1278
274	483	1274
275	485	1273
276	486	1269
277	487	1265
278	488	1261
279	488	1257
280	489	1253
281	490	1249
282	491	1245
283	492	1241
284	493	1238
285	494	1234
286	495	1230
287	496	1226
288	496	1222
289	497	1218
290	499	1217
291	501	1214
292	501	1211
293	502	1207
294	503	1203
295	504	1199
296	505	1195
297	505	1191
298	506	1187
299	507	1183
300	508	1179
301	508	1175
302	509	1172
303	510	1168
304	510	1164
305	511	1160
306	512	1156
307	513	1152
308	515	1152
309	516	1150
310	517	1147
311	518	1143
312	519	1140
313	520	1136
314	520	1132
315	521	1129
316	522	1125
317	523	1122
318	523	1118
319	525	1115
320	526	1112
321	526	1109
322	527	1105
323	528	1102
324	529	1100
325	531	1098
326	531	1094
327	532	1091
328	533	1087
329	534	1084
330	534	1081
331	535	1077
332	536	1074
333	537	1070
334	537	1067
335	538	1064
336	539	1060
337	539	1057
338	540	1053
339	541	1050
340	541	1047
341	542	1043
342	543	1040
343	544	1038
344	545	1036
345	547	1034
346	547	1031
347	548	1028
348	549	1024
349	550	1021
350	551	1018
351	551	1015
352	552	1012
353	553	1009
354	553	1006
355	554	1003
356	555	1000
357	555	996
358	556	994
359	557	990
360	558	987
361	559	986
362	561	984
363	561	981
364	562	978
365	563	975
366	564	972
367	564	969
368	565	967
369	566	964
370	567	961
371	567	958
372	568	955
373	569	952
374	569	949
375	570	946
376	571	944
377	571	941
378	572	938
379	573	935
380	574	933
381	575	931
382	576	929
383	577	926
384	578	923
385	578	920
386	579	918
387	580	915
388	580	912
389	581	909
390	582	907
391	583	904
